,invoice_id,customer_id,invoice_date,billing_address,billing_city,billing_state,billing_country,billing_postal_code,total,latlon,weather_json,weather_desc,weather_state,precipitation,FeelsLikeF
0,1,2,2009-01-01,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98,"(48.7667, 9.1833)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'12', u'FeelsLikeF': u'30', u'FeelsLikeC': u'-1', u'DewPointC': u'0', u'windspeedMiles': u'7', u'DewPointF': u'32', u'HeatIndexF': u'34', u'cloudcover': u'82', u'HeatIndexC': u'1', u'precipMM': u'5.5', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0011_light_snow_showers.png'}], u'WindGustMiles': u'6', u'pressure': u'1028', u'WindGustKmph': u'10', u'weatherDesc': [{u'value': u'Light snow'}], u'winddir16Point': u'W', u'weatherCode': u'326', u'tempC': u'1', u'tempF': u'34', u'WindChillF': u'30', u'WindChillC': u'-1', u'winddirDegree': u'265', u'humidity': u'91', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'34', u'mintempF': u'24', u'mintempC': u'-4', u'maxtempC': u'1', u'date': u'2009-01-01', u'astronomy': [{u'sunset': u'04:37 PM', u'moonset': u'09:56 PM', u'moonrise': u'10:38 AM', u'sunrise': u'08:16 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 48.77 and Lon 9.18', u'type': u'LatLon'}]}}",Light snow,Snow,5.5,30.0
1,2,4,2009-01-02,Ullevålsveien 14,Oslo,,Norway,0171,3.96,"(59.9127, 10.7461)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'14', u'FeelsLikeF': u'15', u'FeelsLikeC': u'-10', u'DewPointC': u'-6', u'windspeedMiles': u'9', u'DewPointF': u'21', u'HeatIndexF': u'24', u'cloudcover': u'45', u'HeatIndexC': u'-5', u'precipMM': u'0.0', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png'}], u'WindGustMiles': u'10', u'pressure': u'1029', u'WindGustKmph': u'16', u'weatherDesc': [{u'value': u'Partly Cloudy '}], u'winddir16Point': u'W', u'weatherCode': u'116', u'tempC': u'-5', u'tempF': u'24', u'WindChillF': u'15', u'WindChillC': u'-10', u'winddirDegree': u'281', u'humidity': u'89', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'24', u'mintempF': u'21', u'mintempC': u'-6', u'maxtempC': u'-5', u'date': u'2009-01-02', u'astronomy': [{u'sunset': u'03:25 PM', u'moonset': u'11:02 PM', u'moonrise': u'10:52 AM', u'sunrise': u'09:18 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 59.91 and Lon 10.75', u'type': u'LatLon'}]}}",Partly Cloudy ,Clouds,0.0,15.0
2,3,8,2009-01-03,Grétrystraat 63,Brussels,,Belgium,1000,5.94,"(50.8466, 4.3528)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'14', u'FeelsLikeF': u'31', u'FeelsLikeC': u'-1', u'DewPointC': u'-8', u'windspeedMiles': u'9', u'DewPointF': u'17', u'HeatIndexF': u'33', u'cloudcover': u'16', u'HeatIndexC': u'1', u'precipMM': u'0.0', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png'}], u'WindGustMiles': u'4', u'pressure': u'1028', u'WindGustKmph': u'6', u'weatherDesc': [{u'value': u'Sunny'}], u'winddir16Point': u'ENE', u'weatherCode': u'113', u'tempC': u'1', u'tempF': u'34', u'WindChillF': u'31', u'WindChillC': u'-1', u'winddirDegree': u'57', u'humidity': u'51', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'34', u'mintempF': u'26', u'mintempC': u'-3', u'maxtempC': u'1', u'date': u'2009-01-03', u'astronomy': [{u'sunset': u'04:50 PM', u'moonset': u'No moonset', u'moonrise': u'11:27 AM', u'sunrise': u'08:45 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 50.85 and Lon 4.35', u'type': u'LatLon'}]}}",Sunny,Sun,0.0,31.0
3,4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,"(53.55, -113.5)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'22', u'FeelsLikeF': u'0', u'FeelsLikeC': u'-18', u'DewPointC': u'-12', u'windspeedMiles': u'13', u'DewPointF': u'11', u'HeatIndexF': u'11', u'cloudcover': u'100', u'HeatIndexC': u'-12', u'precipMM': u'0.4', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0007_fog.png'}], u'WindGustMiles': u'11', u'pressure': u'1012', u'WindGustKmph': u'17', u'weatherDesc': [{u'value': u'Freezing fog'}], u'winddir16Point': u'N', u'weatherCode': u'260', u'tempC': u'-6', u'tempF': u'22', u'WindChillF': u'0', u'WindChillC': u'-18', u'winddirDegree': u'357', u'humidity': u'98', u'visibility': u'0', u'time': u'24'}], u'maxtempF': u'22', u'mintempF': u'-2', u'mintempC': u'-19', u'maxtempC': u'-6', u'date': u'2009-01-06', u'astronomy': [{u'sunset': u'05:32 PM', u'moonset': u'04:55 AM', u'moonrise': u'01:07 PM', u'sunrise': u'09:49 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 53.55 and Lon -113.50', u'type': u'LatLon'}]}}",Freezing fog,Clouds,0.4,0.0
4,5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,"(42.3583333, -71.0602778)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'35', u'FeelsLikeF': u'15', u'FeelsLikeC': u'-9', u'DewPointC': u'-2', u'windspeedMiles': u'22', u'DewPointF': u'28', u'HeatIndexF': u'29', u'cloudcover': u'100', u'HeatIndexC': u'-2', u'precipMM': u'18.4', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0019_cloudy_with_light_snow.png'}], u'WindGustMiles': u'32', u'pressure': u'1008', u'WindGustKmph': u'52', u'weatherDesc': [{u'value': u'Blowing snow'}], u'winddir16Point': u'N', u'weatherCode': u'227', u'tempC': u'0', u'tempF': u'32', u'WindChillF': u'15', u'WindChillC': u'-9', u'winddirDegree': u'3', u'humidity': u'95', u'visibility': u'2', u'time': u'24'}], u'maxtempF': u'32', u'mintempF': u'21', u'mintempC': u'-6', u'maxtempC': u'0', u'date': u'2009-01-11', u'astronomy': [{u'sunset': u'05:33 PM', u'moonset': u'08:41 AM', u'moonrise': u'06:22 PM', u'sunrise': u'08:12 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 42.36 and Lon -71.06', u'type': u'LatLon'}]}}",Blowing snow,Snow,18.4,15.0
5,6,37,2009-01-19,Berger Straße 10,Frankfurt,,Germany,60316,0.99,"(50.1193, 8.698)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'30', u'FeelsLikeF': u'27', u'FeelsLikeC': u'-3', u'DewPointC': u'2', u'windspeedMiles': u'19', u'DewPointF': u'36', u'HeatIndexF': u'37', u'cloudcover': u'97', u'HeatIndexC': u'3', u'precipMM': u'7.7', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png'}], u'WindGustMiles': u'31', u'pressure': u'995', u'WindGustKmph': u'49', u'weatherDesc': [{u'value': u'Moderate rain'}], u'winddir16Point': u'SSE', u'weatherCode': u'302', u'tempC': u'5', u'tempF': u'41', u'WindChillF': u'27', u'WindChillC': u'-3', u'winddirDegree': u'161', u'humidity': u'94', u'visibility': u'7', u'time': u'24'}], u'maxtempF': u'41', u'mintempF': u'37', u'mintempC': u'3', u'maxtempC': u'5', u'date': u'2009-01-19', u'astronomy': [{u'sunset': u'04:58 PM', u'moonset': u'11:19 AM', u'moonrise': u'02:37 AM', u'sunrise': u'08:15 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 50.12 and Lon 8.70', u'type': u'LatLon'}]}}",Moderate rain,Rain,7.7,27.0
6,7,38,2009-02-01,Barbarossastraße 19,Berlin,,Germany,10779,1.98,"(52.4902, 13.3452)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'27', u'FeelsLikeF': u'20', u'FeelsLikeC': u'-6', u'DewPointC': u'-3', u'windspeedMiles': u'17', u'DewPointF': u'26', u'HeatIndexF': u'31', u'cloudcover': u'100', u'HeatIndexC': u'0', u'precipMM': u'2.0', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0011_light_snow_showers.png'}], u'WindGustMiles': u'23', u'pressure': u'1019', u'WindGustKmph': u'37', u'weatherDesc': [{u'value': u'Light snow'}], u'winddir16Point': u'ENE', u'weatherCode': u'326', u'tempC': u'0', u'tempF': u'31', u'WindChillF': u'20', u'WindChillC': u'-6', u'winddirDegree': u'77', u'humidity': u'81', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'31', u'mintempF': u'28', u'mintempC': u'-2', u'maxtempC': u'0', u'date': u'2009-02-01', u'astronomy': [{u'sunset': u'04:53 PM', u'moonset': u'No moonset', u'moonrise': u'09:24 AM', u'sunrise': u'07:48 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 52.49 and Lon 13.35', u'type': u'LatLon'}]}}",Light snow,Snow,2.0,20.0
7,8,40,2009-02-01,"8, Rue Hanovre",Paris,,France,75002,1.98,"(48.8655, 2.3426)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'29', u'FeelsLikeF': u'24', u'FeelsLikeC': u'-4', u'DewPointC': u'-6', u'windspeedMiles': u'18', u'DewPointF': u'21', u'HeatIndexF': u'35', u'cloudcover': u'22', u'HeatIndexC': u'2', u'precipMM': u'0.0', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png'}], u'WindGustMiles': u'22', u'pressure': u'1005', u'WindGustKmph': u'35', u'weatherDesc': [{u'value': u'Sunny'}], u'winddir16Point': u'ENE', u'weatherCode': u'113', u'tempC': u'2', u'tempF': u'35', u'WindChillF': u'24', u'WindChillC': u'-4', u'winddirDegree': u'73', u'humidity': u'57', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'35', u'mintempF': u'28', u'mintempC': u'-2', u'maxtempC': u'2', u'date': u'2009-02-01', u'astronomy': [{u'sunset': u'05:49 PM', u'moonset': u'No moonset', u'moonrise': u'10:17 AM', u'sunrise': u'08:21 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 48.87 and Lon 2.34', u'type': u'LatLon'}]}}",Sunny,Sun,0.0,24.0
8,9,42,2009-02-02,"9, Place Louis Barthou",Bordeaux,,France,33000,3.96,"(44.8404, -0.5805)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'14', u'FeelsLikeF': u'43', u'FeelsLikeC': u'6', u'DewPointC': u'6', u'windspeedMiles': u'9', u'DewPointF': u'43', u'HeatIndexF': u'46', u'cloudcover': u'100', u'HeatIndexC': u'8', u'precipMM': u'4.9', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png'}], u'WindGustMiles': u'7', u'pressure': u'992', u'WindGustKmph': u'12', u'weatherDesc': [{u'value': u'Light rain'}], u'winddir16Point': u'NW', u'weatherCode': u'296', u'tempC': u'8', u'tempF': u'47', u'WindChillF': u'43', u'WindChillC': u'6', u'winddirDegree': u'307', u'humidity': u'90', u'visibility': u'9', u'time': u'24'}], u'maxtempF': u'47', u'mintempF': u'35', u'mintempC': u'2', u'maxtempC': u'8', u'date': u'2009-02-02', u'astronomy': [{u'sunset': u'06:12 PM', u'moonset': u'01:10 AM', u'moonrise': u'11:04 AM', u'sunrise': u'08:20 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 44.84 and Lon -0.58', u'type': u'LatLon'}]}}",Light rain,Rain,4.9,43.0
9,10,46,2009-02-03,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,"(53.3330556, -6.2488889)","{u'data': {u'weather': [{u'hourly': [{u'windspeedKmph': u'54', u'FeelsLikeF': u'34', u'FeelsLikeC': u'1', u'DewPointC': u'4', u'windspeedMiles': u'33', u'DewPointF': u'39', u'HeatIndexF': u'44', u'cloudcover': u'100', u'HeatIndexC': u'7', u'precipMM': u'17.3', u'weatherIconUrl': [{u'value': u'http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png'}], u'WindGustMiles': u'33', u'pressure': u'988', u'WindGustKmph': u'53', u'weatherDesc': [{u'value': u'Light rain shower'}], u'winddir16Point': u'E', u'weatherCode': u'353', u'tempC': u'7', u'tempF': u'44', u'WindChillF': u'34', u'WindChillC': u'1', u'winddirDegree': u'94', u'humidity': u'84', u'visibility': u'10', u'time': u'24'}], u'maxtempF': u'44', u'mintempF': u'39', u'mintempC': u'4', u'maxtempC': u'7', u'date': u'2009-02-03', u'astronomy': [{u'sunset': u'05:13 PM', u'moonset': u'02:27 AM', u'moonrise': u'10:19 AM', u'sunrise': u'08:06 AM'}], u'uvIndex': u'0'}], u'request': [{u'query': u'Lat 53.33 and Lon -6.25', u'type': u'LatLon'}]}}",Light rain shower,Rain,17.3,34.0
